actor_lr,critic_lr,entropy_coef,reward,waiting_time,arrived,switches
0.0003,0.0005,0.03,-174.59000000000003,9.205807600396662,1454.3333333333333,4.0
0.0001,0.0003,0.03,-175.03666666666666,9.228651871531385,1458.6666666666667,4.0
0.0001,0.0003,0.05,-175.03666666666666,9.228651871531385,1458.6666666666667,4.0
0.0001,0.0003,0.07,-175.03666666666666,9.228651871531385,1458.6666666666667,4.0
0.0003,0.0005,0.07,-177.40666666666672,9.776817655608363,1462.0,8.0
0.0003,0.0005,0.05,-178.19666666666672,9.940017025551926,1463.0,0.0
0.0005,0.001,0.05,-178.19666666666672,9.940017025551926,1463.0,0.0
0.0005,0.001,0.03,-179.62000000000012,9.302562692733256,1460.0,4.0
0.0005,0.001,0.07,-179.62000000000012,9.302562692733256,1460.0,4.0
